Date,Particulars,Voucher Type,Supplier Invoice No.,Supplier Invoice Date,GSTIN/UIN,GST Purchase,SGST,CGST,Invoice value (â‚,
01-Aug-19,Shreeji Gas Corporation,Purchase,940,01-Aug-19,24ACCFS3173N1ZV,"2,850.00",256.50,256.50,3363,
16-Aug-19,Shreeji Gas Corporation,Purchase,1066,16-Aug-19,24ACCFS3173N1ZV,"1,350.00",121.50,121.50,1593,
01-Nov-19,Shreeji Gas Corporation,Purchase,324,15-May-19,24ACCFS3173N1ZV,"5,850.00",526.50,526.50,6903,
01-Nov-19,Shreeji Gas Corporation,Purchase,563,17-Jun-19,24ACCFS3173N1ZV,"2,400.00",216.00,216.00,2832,
01-Nov-19,Shreeji Gas Corporation,Purchase,680,30-Jun-19,24ACCFS3173N1ZV,"4,050.00",364.50,364.50,4779,
01-Nov-19,Shreeji Gas Corporation,Purchase,1192,31-Aug-19,24ACCFS3173N1ZV,"2,100.00",189.00,189.00,2478,
01-Nov-19,Shreeji Gas Corporation,Purchase,1413,30-Sep-19,24ACCFS3173N1ZV,"1,350.00",121.50,121.50,1593,
01-Nov-19,Shreeji Gas Corporation,Purchase,1589,20-Oct-19,24ACCFS3173N1ZV,"2,700.00",243.00,243.00,3186,
01-Nov-19,Shreeji Gas Corporation,Purchase,1688,31-Oct-19,24ACCFS3173N1ZV,300.00,27.00,27.00,354,
15-Dec-19,Shreeji Gas Corporation,Purchase,2116,15-Dec-19,24ACCFS3173N1ZV,"3,450.00",310.50,310.50,4071,
31-Dec-19,Shreeji Gas Corporation,Purchase,2271,31-Dec-19,24ACCFS3173N1ZV,"3,450.00",310.50,310.50,4071,
01-Feb-20,Shreeji Gas Corporation,Purchase,1851,20-Nov-19,24ACCFS3173N1ZV,"4,500.00",405.00,405.00,5310,
01-Feb-20,Shreeji Gas Corporation,Purchase,1959,30-Nov-19,24ACCFS3173N1ZV,600.00,54.00,54.00,708,
01-Mar-20,Shreeji Gas Corporation,Purchase,2417,15-Jan-20,24ACCFS3173N1ZV,"2,100.00",189.00,189.00,2478,
