GSTIN of supplier,Trade/ Legal name of supplier,Invoice details,,,,Place of supply,Supply attract   reverse charge,Rate (%),Taxable value (â‚,Tax amount,,,,"Counterparty GSTR-1/5 filing date 
(DD/MM/YYYY)",ITC available,Reason for non accounting of ITC
,,Invoice number,Invoice type,Invoice date,Invoice value (â‚,,,,,Integrated tax  (â‚,Central tax (â‚,State/UT tax (â‚,Cess  (â‚,,,
24AASPA8001H1Z0,JAY BAJRANG TYRES SALES AND SERVICE,19-20/2597,R,08/11/2019,"13,800.00",Gujarat,N,28,"10,781.26",0.00,"1,509.38","1,509.38",0.00,09/12/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,1959,R,30/11/2019,708.00,Gujarat,N,18,600.00,0.00,54.00,54.00,0.00,06/12/2019,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,1851,R,20/11/2019,"5,310.00",Gujarat,N,18,"4,500.00",0.00,405.00,405.00,0.00,06/12/2019,Yes,
24FUKPK8803G1ZG,SUPER IMPEX,TI/104,R,13/11/2019,"82,482.00",Gujarat,N,18,"69,900.00",0.00,"6,291.00","6,291.00",0.00,07/12/2019,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901033541,R,03/12/2019,"47,992.96",Gujarat,N,18,"40,672.00",0.00,"3,660.48","3,660.48",0.00,07/01/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901036127,R,21/12/2019,"63,213.78",Gujarat,N,18,"53,571.00",0.00,"4,821.39","4,821.39",0.00,07/01/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901036041,R,21/12/2019,"75,175.44",Gujarat,N,18,"63,708.00",0.00,"5,733.72","5,733.72",0.00,07/01/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901036629,R,25/12/2019,"65,578.50",Gujarat,N,18,"55,575.00",0.00,"5,001.75","5,001.75",0.00,07/01/2020,Yes,
24AAWFR0748J1ZP,ROHAN INFRASTRUCTURE,5,R,17/12/2019,"184,200.00",Gujarat,N,18,"154,790.00",0.00,"13,931.10","13,931.10",0.00,09/01/2020,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,2271,R,31/12/2019,"4,071.00",Gujarat,N,18,"3,450.00",0.00,311.00,311.00,0.00,10/01/2020,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,2116,R,15/12/2019,"4,071.00",Gujarat,N,18,"3,450.00",0.00,311.00,311.00,0.00,10/01/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901038007,R,04/01/2020,"57,383.40",Gujarat,N,18,"48,630.00",0.00,"4,376.70","4,376.70",0.00,05/02/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901041572,R,31/01/2020,"46,228.86",Gujarat,N,18,"39,177.00",0.00,"3,525.93","3,525.93",0.00,05/02/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901040485,R,23/01/2020,"37,600.70",Gujarat,N,18,"31,865.00",0.00,"2,867.85","2,867.85",0.00,05/02/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901040027,R,20/01/2020,"8,834.66",Gujarat,N,18,"7,487.00",0.00,673.83,673.83,0.00,05/02/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/59/19-20,R,10/01/2020,"200,788.00",Gujarat,N,18,"170,160.00",0.00,"15,314.40","15,314.40",0.00,21/02/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/61/19-20,R,16/01/2020,"265,076.00",Gujarat,N,18,"224,640.00",0.00,"20,217.60","20,217.60",0.00,21/02/2020,Yes,
24AADCR4658R1ZP,RANJIT BUILDCON  LIMITED,GJ/AS/63/19-20,R,29/01/2020,"240,720.00",Gujarat,N,18,"204,000.00",0.00,"18,360.00","18,360.00",0.00,21/02/2020,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,2593,R,31/01/2020,"1,593.00",Gujarat,N,18,"1,350.00",0.00,122.00,122.00,0.00,08/02/2020,Yes,
24ACCFS3173N1ZV,SHREEJI GAS CORPORATION,2417,R,15/01/2020,"2,478.00",Gujarat,N,18,"2,100.00",0.00,189.00,189.00,0.00,08/02/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901045232,R,27/02/2020,"2,677.42",Gujarat,N,18,"2,269.00",0.00,204.21,204.21,0.00,07/03/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901045375,R,28/02/2020,"2,231.38",Gujarat,N,18,"1,891.00",0.00,170.19,170.19,0.00,07/03/2020,Yes,
24AAACI5569D1ZQ,INOX AIR PRODUCTS PRIVATE LIMITED,GJ1901043036,R,11/02/2020,"52,653.96",Gujarat,N,18,"44,622.00",0.00,"4,015.98","4,015.98",0.00,07/03/2020,Yes,
